WNXM_20211002	124511687.55942817	2585.377798915117	56.274913455655486	0.001168322040291561	4992075.485500458	103.64035159476984	33992	None	130804
STEEM_20200106	40953231.074945025	5577.3545666806185	0.12210576185762284	1.662464841402494e-05	263199.52202152205	35.83450485693897	10440	3797	188997
SYS_20201014	29897768.100352734	2616.878497875571	0.04997983221320806	4.375750378149768e-06	631183.1754553627	55.260289928518276	61165	4494	313828
GLM_20210304	368814061.7611211	7254.017888348491	0.36871698121712476	7.277070412814871e-06	8602990.547918888	169.7903030430835	151190	20687	158485
TCT_20200927	6141415.933147908	572.0871977789013	0.010631625237706877	9.898089021962005e-07	484487.31108920363	45.10597794741562	None	None	472405
BEAM_20210221	59191922.03724471	1055.5702751039785	0.7352273564532372	1.3074122704146476e-05	28308690.827631906	503.397070614504	16838	1795	251636
WRX_20201231	15649831.624279361	541.7558450035963	0.06563404067103923	2.2752016686992146e-06	1209023.0078321479	41.91073925651531	46113	None	5759
FUEL_20190201	3945319.3939839248	1149.810104993068	0.007436391254818778	2.167235895403289e-06	913954.0257642751	266.35956924686445	1	1519	None
ETC_20191012	531071912.7505949	64050.3607234735	4.6412930329789335	0.0005613769802545246	631844388.4959952	76423.29244981727	229694	24987	362235
SYS_20200324	9626360.036359204	1496.041016204123	0.01659143175535325	2.5729019199264756e-06	221631.17104263604	34.369262032323654	58663	4509	831215
BLZ_20200105	3734972.217503762	508.1929878110669	0.01750263644806949	2.380313911358719e-06	376286.3888935189	51.17398906134349	36198	None	709947
FTM_20201229	44657092.791750155	1645.6505184297698	0.01753153354997332	6.454922570710138e-07	6649267.8737192275	244.81890962033592	28290	2830	128838
QLC_20200320	1928829.537968473	311.8974271019326	0.008090643466731131	1.3089913761965387e-06	97377.6687196527	15.754807279828047	24520	5667	940522
CHR_20210508	158506932.14255393	2766.0874189125198	0.3523657693698176	6.147630989700017e-06	90825622.70987777	1584.6102583364998	57434	None	102679
XTZ_20211021	6096121529.729907	91968.5468648852	7.050205644541212	0.00010637717566558524	267337366.82488254	4033.725463699741	203576	61373	44126
DYDX_20211125	924967901.3852178	16178.539798773092	14.94091559922137	0.0002612096274426598	423928050.1051212	7411.466003878821	None	2356	13000
ARK_20201229	60064790.01788762	2215.0625953292943	0.38564412865878656	1.4204271023226243e-05	2670862.0453949184	98.37475936786426	62966	21629	103800
AST_20210105	11686464.87279186	373.53304716049155	0.06787726982796005	2.169552872297791e-06	1524469.460517904	48.7264308829712	34579	3466	211626
FUEL_20190509	4000480.365764681	671.5764858397762	0.007540525165829873	1.2658757491366387e-06	3550396.0918645477	596.0274932689256	1	1515	None
POA_20210204	9263114.316150635	247.2509632231894	0.0326331628597659	8.699968115283453e-07	2079501.9840156732	55.43931194885969	18253	None	427710
LOOM_20190507	43977764.6402378	7687.557346610166	0.06353499341592131	1.1106670795119676e-05	3197329.906791259	558.9312092259111	19359	None	495542
AMB_20190421	7870762.609726533	1482.2640084274194	0.054448179519445486	1.0251409404682679e-05	1317281.1556953357	248.01542581021744	20642	5696	593270
SXP_20201228	52049013.1411727	1966.8184397390498	0.6716917210625336	2.5541250650089712e-05	29928156.8659506	1138.0258711529998	None	None	107070
CTSI_20201129	8600220.026151123	485.9045862031323	0.04329273367790065	2.4456432114244e-06	1420579.496416926	80.24973954172394	17445	156	456815
CTK_20201124	28448785.865596905	1553.8397656814652	1.1940968647500088	6.506469161387576e-05	6117644.707988798	333.3420244863323	None	None	292384
LEND_20191017	7471436.254323613	933.126332568471	0.006533267794215196	8.160302363245067e-07	3557251.7768413667	444.31440736164274	41490	5802	671068
VIB_20200721	3136053.4484497593	342.29713038398285	0.017177947382323	1.8748412211732176e-06	760494.6373557821	83.00215752570223	30740	1100	None
ENG_20190227	24419729.942813765	6411.405392206859	0.317367757111777	8.33002402522485e-05	667540.2063669417	175.21080299539454	61078	3207	251266
XMR_20190601	1601157732.513235	186767.6543249079	94.11112842561033	0.010971328124477124	378675732.3329295	44145.42447533401	317786	158039	113684
UST_20220105	10329098171.523268	223283.52015591346	1.0009078006632974	2.177285278384194e-05	223862226.34726933	4869.698582518929	285275	None	4371
SKY_20200207	11928204.47079502	1224.739554630916	0.7021552739752694	7.210807527729063e-05	2057878.8636583546	211.33457158572642	16317	3824	315268
SNT_20200407	66050351.68923496	9064.564485327039	0.017288478462162964	2.372622156666051e-06	49997823.04826495	6861.560605752734	None	5640	188189
NCASH_20190523	6008768.133640577	783.7103144844172	0.00206995949928035	2.701002675222255e-07	689136.1016703916	89.92245765441741	60629	59279	878224
WAVES_20210710	1505906225.184679	44308.82675504974	15.062266006471438	0.000443203797201471	107969558.65112247	3176.980034463923	194132	59121	98898
POLS_20220105	252802374.28955662	5464.814362086814	2.8681581665599487	6.234785296290433e-05	17664382.018623613	383.98729387321487	618148	None	6619
ANKR_20210702	526865761.42640626	15680.20468473461	0.07553383008355755	2.2456672564495506e-06	26659682.51349928	792.6087690995881	114842	None	5363
PIVX_20210704	37753802.961305596	1089.71424925286	0.5780592495924224	1.6642295944068904e-05	458554.1883478121	13.201751402226227	67671	9836	316227
BTG_20190908	186779754.76692745	17839.764117718078	10.662120375048383	0.0010184661318603915	13464131.404920906	1286.11958489238	75019	None	255203
EVX_20190513	12791125.021459583	1840.029476357148	0.6638497965254236	9.540077532672803e-05	2370302.877692656	340.63237418254425	17213	2390	712033
FET_20190616	0	0	0.21023380346874546	2.3843007410332993e-05	53935580.04209218	6116.934638512565	9591	269	385628
